"Epoch","Timestamp","ZKC Price (USD)","Stakers","Network Stake (ZKC)","Staking Rewards (ZKC)","Miners","Total Cycles","Mining Rewards (ZKC)"
"99","2026-03-27T20:41:35.000Z","$0.072116","1,329","36.8M ZKC","96,440 ZKC","12","519T","289K ZKC"
"98","2026-03-25T20:41:35.000Z","$0.075137","1,329","36.9M ZKC","96,404 ZKC","19","660T","287K ZKC"
"97","2026-03-23T20:41:35.000Z","$0.072759","1,329","36.9M ZKC","96,368 ZKC","22","615T","289K ZKC"
"96","2026-03-21T20:41:35.000Z","$0.077507","1,329","36.9M ZKC","96,332 ZKC","22","664T","289K ZKC"
"95","2026-03-19T20:41:35.000Z","$0.079242","1,329","37.1M ZKC","96,296 ZKC","22","638T","289K ZKC"
"94","2026-03-17T20:41:35.000Z","$0.082629","1,330","37.2M ZKC","96,261 ZKC","25","601T","287K ZKC"
"93","2026-03-15T20:41:35.000Z","$0.083256","1,332","37.3M ZKC","96,225 ZKC","22","695T","288K ZKC"
"92","2026-03-13T20:41:35.000Z","$0.084625","1,332","37.3M ZKC","96,189 ZKC","22","686T","288K ZKC"
"91","2026-03-11T20:41:35.000Z","$0.084341","1,336","37.3M ZKC","96,153 ZKC","22","666T","288K ZKC"
"90","2026-03-09T20:41:35.000Z","$0.079985","1,341","37.3M ZKC","96,118 ZKC","20","729T","288K ZKC"
"89","2026-03-07T20:41:35.000Z","$0.082881","1,341","38.0M ZKC","96,082 ZKC","24","736T","288K ZKC"
"88","2026-03-05T20:41:35.000Z","$0.084474","1,341","38.0M ZKC","96,046 ZKC","22","607T","288K ZKC"
"87","2026-03-03T20:41:35.000Z","$0.084413","1,344","38.1M ZKC","96,011 ZKC","18","699T","288K ZKC"
"86","2026-03-01T20:41:35.000Z","$0.085568","1,343","18.9M ZKC","95,975 ZKC","21","729T","287K ZKC"
"85","2026-02-27T20:41:35.000Z","$0.088068","1,345","19.0M ZKC","95,939 ZKC","20","739T","288K ZKC"
"84","2026-02-25T20:41:35.000Z","$0.082791","1,348","19.0M ZKC","95,903 ZKC","22","788T","288K ZKC"
"83","2026-02-23T20:41:35.000Z","$0.086277","1,349","18.9M ZKC","95,868 ZKC","20","713T","288K ZKC"
"82","2026-02-21T20:41:35.000Z","$0.092947","1,349","18.9M ZKC","95,832 ZKC","17","735T","287K ZKC"
"81","2026-02-19T20:41:35.000Z","$0.093361","1,348","18.8M ZKC","95,797 ZKC","16","815T","287K ZKC"
"80","2026-02-17T20:41:35.000Z","$0.098035","1,346","18.8M ZKC","95,761 ZKC","19","723T","287K ZKC"
"79","2026-02-15T20:41:35.000Z","$0.101936","1,347","18.8M ZKC","95,725 ZKC","21","808T","287K ZKC"
"78","2026-02-13T20:41:35.000Z","$0.095201","1,346","18.8M ZKC","95,690 ZKC","23","793T","287K ZKC"
"77","2026-02-11T20:41:35.000Z","$0.094367","1,347","18.8M ZKC","95,654 ZKC","23","878T","287K ZKC"
"76","2026-02-09T20:41:35.000Z","$0.08647","1,352","18.8M ZKC","95,619 ZKC","24","590T","285K ZKC"
"75","2026-02-07T20:41:35.000Z","$0.088193","1,353","18.8M ZKC","95,583 ZKC","23","696T","281K ZKC"
"74","2026-02-05T20:41:35.000Z","$0.0937779591298649","1,356","18.7M ZKC","95,548 ZKC","22","769T","274K ZKC"
"73","2026-02-03T20:41:35.000Z","$0.1008583460914839","1,357","18.7M ZKC","95,512 ZKC","29","682T","284K ZKC"
"72","2026-02-01T20:41:35.000Z","$0.10328152726817871","1,358","18.7M ZKC","95,477 ZKC","26","773T","286K ZKC"
"71","2026-01-30T20:41:35.000Z","$0.1140838463949826","1,358","18.3M ZKC","95,441 ZKC","32","782T","282K ZKC"
"70","2026-01-28T20:41:35.000Z","$0.131865826490231","1,358","18.2M ZKC","95,406 ZKC","31","805T","282K ZKC"
"69","2026-01-26T20:41:35.000Z","$0.14951827699062564","1,363","18.2M ZKC","95,370 ZKC","29","794T","285K ZKC"
"68","2026-01-24T20:41:35.000Z","$0.10413513808612838","1,362","18.1M ZKC","95,335 ZKC","29","816T","286K ZKC"
"67","2026-01-22T20:41:35.000Z","$0.10091313962800698","1,367","18.2M ZKC","95,299 ZKC","28","768T","286K ZKC"
"66","2026-01-20T20:41:35.000Z","$0.10452214402423096","1,368","18.2M ZKC","95,264 ZKC","25","730T","285K ZKC"
"65","2026-01-18T20:41:35.000Z","$0.1176485949586335","1,369","18.2M ZKC","95,228 ZKC","23","726T","285K ZKC"
"64","2026-01-16T20:41:35.000Z","$0.11314767842136417","1,368","18.0M ZKC","95,193 ZKC","23","719T","285K ZKC"
"63","2026-01-14T20:41:35.000Z","$0.11498022915588162","1,372","18.0M ZKC","95,158 ZKC","22","734T","285K ZKC"
"62","2026-01-12T20:41:35.000Z","$0.1130009094216636","1,373","17.9M ZKC","95,122 ZKC","21","679T","285K ZKC"
"61","2026-01-10T20:41:35.000Z","$0.11605423537350644","1,376","17.9M ZKC","95,087 ZKC","25","705T","284K ZKC"
"60","2026-01-08T20:41:35.000Z","$0.11817234216557462","1,378","17.9M ZKC","95,052 ZKC","25","700T","284K ZKC"
"59","2026-01-06T20:41:35.000Z","$0.12346992260618887","1,378","17.9M ZKC","95,016 ZKC","33","761T","285K ZKC"
"58","2026-01-04T20:41:35.000Z","$0.12244178166190776","1,379","18.2M ZKC","94,981 ZKC","32","767T","282K ZKC"
"57","2026-01-02T20:41:35.000Z","$0.11409670616879262","1,379","18.1M ZKC","94,946 ZKC","28","788T","284K ZKC"
"56","2025-12-31T20:41:35.000Z","$0.11884959851498965","1,383","18.1M ZKC","94,910 ZKC","27","801T","283K ZKC"
"55","2025-12-29T20:41:35.000Z","$0.10985654251846291","1,383","18.1M ZKC","94,875 ZKC","29","736T","281K ZKC"
"54","2025-12-27T20:41:35.000Z","$0.12038795394092773","1,386","18.1M ZKC","94,840 ZKC","25","703T","282K ZKC"
"53","2025-12-25T20:41:35.000Z","$0.11826754144883173","1,387","18.1M ZKC","94,805 ZKC","26","721T","282K ZKC"
"52","2025-12-23T20:41:35.000Z","$0.10021205950663992","1,389","18.0M ZKC","94,769 ZKC","29","726T","283K ZKC"
"51","2025-12-21T20:41:35.000Z","$0.10556095326807452","1,392","18.1M ZKC","94,734 ZKC","32","726T","281K ZKC"
"50","2025-12-19T20:41:35.000Z","$0.09543601101312686","1,392","17.8M ZKC","94,699 ZKC","34","824T","284K ZKC"
"49","2025-12-17T20:41:35.000Z","$0.10867688000778769","1,401","17.8M ZKC","94,664 ZKC","35","785T","283K ZKC"
"48","2025-12-15T20:41:35.000Z","$0.11820634698660303","1,402","17.8M ZKC","94,629 ZKC","30","857T","284K ZKC"
"47","2025-12-13T20:41:35.000Z","$0.12651410198059118","1,400","17.8M ZKC","94,593 ZKC","32","786T","281K ZKC"
"46","2025-12-11T20:41:35.000Z","$0.13367715193240284","1,401","18.0M ZKC","94,558 ZKC","37","757T","280K ZKC"
"45","2025-12-09T20:41:35.000Z","$0.13495959591733084","1,402","18.1M ZKC","94,523 ZKC","39","780T","281K ZKC"
"44","2025-12-07T20:41:35.000Z","$0.13894773677432348","1,403","18.0M ZKC","94,488 ZKC","37","805T","280K ZKC"
"43","2025-12-05T20:41:35.000Z","$0.14572165139993862","1,408","18.0M ZKC","94,453 ZKC","33","868T","280K ZKC"
"42","2025-12-03T20:41:35.000Z","$0.14380888322148624","1,407","17.9M ZKC","94,418 ZKC","39","792T","280K ZKC"
"41","2025-12-01T20:41:35.000Z","$0.1422468805700845","1,404","17.5M ZKC","94,383 ZKC","37","869T","282K ZKC"
"40","2025-11-29T20:41:35.000Z","$0.14944685442293026","1,407","17.4M ZKC","94,348 ZKC","39","827T","282K ZKC"
"39","2025-11-27T20:41:35.000Z","$0.15084056071310692","1,408","17.3M ZKC","94,312 ZKC","37","645T","278K ZKC"
"38","2025-11-25T20:41:35.000Z","$0.15351597542568038","1,408","17.4M ZKC","94,277 ZKC","38","858T","283K ZKC"
"37","2025-11-23T20:41:35.000Z","$0.14564092003986373","1,408","17.7M ZKC","94,242 ZKC","48","697T","272K ZKC"
"36","2025-11-21T20:41:35.000Z","$0.1452758225026174","1,411","17.5M ZKC","94,207 ZKC","44","842T","276K ZKC"
"35","2025-11-19T20:41:35.000Z","$0.15534980252426314","1,409","17.8M ZKC","94,172 ZKC","48","869T","279K ZKC"
"34","2025-11-17T20:41:35.000Z","$0.1578603502102315","1,409","17.4M ZKC","94,137 ZKC","45","872T","279K ZKC"
"33","2025-11-15T20:41:35.000Z","$0.1618330437337247","1,414","17.3M ZKC","94,102 ZKC","50","895T","282K ZKC"
"32","2025-11-13T20:41:35.000Z","$0.18058341534409708","1,418","17.1M ZKC","94,067 ZKC","50","1083T","282K ZKC"
"31","2025-11-11T20:41:35.000Z","$0.2012418289201463","1,414","16.6M ZKC","94,032 ZKC","50","818T","282K ZKC"
"30","2025-11-09T20:41:35.000Z","$0.20435971839802342","1,418","16.1M ZKC","93,997 ZKC","49","872T","282K ZKC"
"29","2025-11-07T20:41:35.000Z","$0.1945719885774968","1,421","16.2M ZKC","93,963 ZKC","45","773T","279K ZKC"
"28","2025-11-05T20:41:35.000Z","$0.1901602122056028","1,428","16.1M ZKC","93,928 ZKC","44","684T","282K ZKC"
"27","2025-11-03T20:41:35.000Z","$0.21927925472793378","1,438","16.0M ZKC","93,893 ZKC","41","679T","282K ZKC"
"26","2025-11-01T20:41:35.000Z","$0.21478003845238652","1,438","15.7M ZKC","93,858 ZKC","41","588T","281K ZKC"
"25","2025-10-30T20:41:35.000Z","$0.22621811196660072","1,449","15.6M ZKC","93,823 ZKC","38","500T","279K ZKC"
"24","2025-10-28T20:41:35.000Z","$0.2619845494253453","1,458","15.4M ZKC","93,788 ZKC","39","573T","281K ZKC"
"23","2025-10-26T20:41:35.000Z","$0.28626773399196553","1,459","15.3M ZKC","93,753 ZKC","42","586T","281K ZKC"
"22","2025-10-24T20:41:35.000Z","$0.23898305548611723","1,473","15.0M ZKC","93,718 ZKC","41","496T","279K ZKC"
"21","2025-10-22T20:41:35.000Z","$0.22230244700263316","1,472","14.9M ZKC","93,683 ZKC","40","448T","280K ZKC"
"20","2025-10-20T20:41:35.000Z","$0.2484253638980222","1,484","15.2M ZKC","93,649 ZKC","42","402T","278K ZKC"
"19","2025-10-18T20:41:35.000Z","$0.2830167086351385","1,491","15.1M ZKC","93,614 ZKC","39","421T","278K ZKC"
"18","2025-10-16T20:41:35.000Z","$0.18378203347291666","1,489","15.4M ZKC","93,579 ZKC","39","382T","280K ZKC"
"17","2025-10-14T20:41:35.000Z","$0.20984734161582216","1,485","15.4M ZKC","93,544 ZKC","41","303T","271K ZKC"
"16","2025-10-12T20:41:35.000Z","$0.1769197973457561","1,485","13.6M ZKC","93,510 ZKC","44","445T","275K ZKC"
"15","2025-10-10T20:41:35.000Z","$0.2789714333502867","1,482","13.3M ZKC","93,475 ZKC","43","397T","278K ZKC"
"14","2025-10-08T20:41:35.000Z","$0.3058096154459591","1,471","13.8M ZKC","93,440 ZKC","49","447T","275K ZKC"
"13","2025-10-06T20:41:35.000Z","$0.32236344446344634","1,461","14.6M ZKC","93,405 ZKC","49","507T","280K ZKC"
"12","2025-10-04T20:41:35.000Z","$0.34160834071143753","1,453","14.7M ZKC","93,371 ZKC","47","384T","279K ZKC"
"11","2025-10-02T20:41:35.000Z","$0.4448002832184371","1,447","14.6M ZKC","93,336 ZKC","42","341T","275K ZKC"
"10","2025-09-30T20:41:35.000Z","$0.4940600625051133","1,405","14.6M ZKC","93,301 ZKC","44","236T","277K ZKC"
"9","2025-09-28T20:41:35.000Z","$0.5610089681199616","1,368","14.5M ZKC","93,267 ZKC","49","198T","270K ZKC"
"8","2025-09-26T20:41:35.000Z","$0.5642477405406188","1,345","14.4M ZKC","93,232 ZKC","39","125T","275K ZKC"
"7","2025-09-24T20:41:35.000Z","$0.7229309174117347","1,287","14.1M ZKC","93,197 ZKC","47","93T","277K ZKC"
"6","2025-09-22T20:41:35.000Z","$0.8492285467683331","1,195","10.2M ZKC","93,163 ZKC","37","45T","236K ZKC"
"5","2025-09-20T20:41:35.000Z","$0.7354862201060018","1,043","8.4M ZKC","93,128 ZKC","36","42T","201K ZKC"
"4","2025-09-18T20:41:35.000Z","$0.7774312711201129","412","7.0M ZKC","93,093 ZKC","32","24T","132K ZKC"
"3","2025-09-16T20:41:35.000Z","$0.948236665776179","311","3.7M ZKC","93,059 ZKC","21","22T","40K ZKC"
"2","2025-09-14T20:41:35.000Z","","153","1.3M ZKC","93,024 ZKC","5","3T","9K ZKC"
"1","2025-09-12T20:41:35.000Z","","3","93.0K ZKC","92,990 ZKC","1","791M","6K ZKC"
"0","2025-09-10T20:41:35.000Z","","1","10.0 ZKC","92,955 ZKC","0","0","0 ZKC"